English,Punjabi,Time
keh sarbatr tranai| keh sarbatr pranai,ik srb`qR qRwxY ] ik srb`qR pRwxY ],886
keh sarbatr daisai| sarbatr bhaisai. (117),ik srb`qR dysY ] ik srb`qR BysY ]117],890
keh sarbatr maniay| sadaivun pardhaniay,ik srb`qR mwinXYN ] sdYvM pRDwinXYN ],894
keh sarbatr japiay| keh sarbatr thapiay (118),ik srb`qR jwipXY ] ik srb`qR QwipXY ]118],898
keh sarbatr bhanai| keh sarbatr manai,ik srb`qR BwnY ] ik srb`qR mwnY ],901
keh sarbatr indrai| keh sarbatr chundrai. (119),ik srb`qR ieMdRY ] ik srb`qR cMdRY ]119],905
Keh sarbun kleemai| keh parmun phaheemai,ik srbM klImY ] ik prmM &hImY ],908
keh aakl alamai| keh sahib klamai. (120),ik Awkl AlwmY ] ik swihb klwmY ]120],912
keh husnul vjoo hain| tmamul rujoo hain.,ik husnl vjU hYN ] qmwmul rujU hYN ],916
hamaisul slamai| sleekht mudamai. (121),hmysul slwmYN ] slIKq mudwmYN ]121],920
gnimul shikstai| greebul prastai,ZnImul iSksqY ] ZrIbul prsqY ],924
belundul mkanai| zmeenul zmanai. (122),iblµdul mkwnYN ] zmInul zmwnYN ]122],927
tmeejul tmamai| rujooal nidhanai,qmIzul qmwmYN ] rujUAl inDwnYN ],930
hreephul ajeemai| rjaeik yakeenai. (123),hrIPul AjImYN ] rzwiek XkInYN ]123],935
anaikul trung hain| abhaid hain abhung hain,Anykul qrMg hYN ] AByd hYN ABMg hYN ],938
ajijul nivaz hain| gneemul khiraj hain. (124),AzIzul invwz hYN ] ZnImul i^rwj hYN ]124],942
nirukt sroop hain| tirmukt bebhooti hain,inrukq srUp hYN ] iqRmukiq ibBUq hYN ],945
parbhugt prbha hain. sojugt sudha hain. (125),pRBugiq pRBw hYN ] su jugiq suDw hYN ]125],950
sdaivun sroop hain| abhaidi anoop hain.,sdYvM srUp hYN ] ABydI AnUp hYN ],954
smsto praj hain| sda sarb saj hain. (126),smsqo prwj hYN ] sdw srb swj hYN ]126],959
smstul slam hain. sdaivul akam hain,smsqul slwm hYN ] sdYvl Akwm hYN ],962
nirbadh sroop hain| agadh hain anoop hain. (127),inRbwD srUp hYN ] AgwiD hYN AnUp hYN ]127],965
oaun adi roopai| anadi sroopai,EAM Awid rUpy ] Anwid srUpY ],969
anungi anamai| tirbhungi tirkamai. (128),AnµgI Anwmy ] iqRBMgI iqRkwmy ]128],972
tirbargun tirbadhai| agunjai agadhai,iqRbrgM iqRbwDy ] AgMjy AgwDy ],976
sobhun sarb bhagai| so sarba anuragai. (129),suBM srb Bwgy ] su srbw Anurwgy ]129],980
tirbhugt sroop hain| achij hain| achoot hain.,iqRBugq srUp hYN ] AiC`j hYN ACUq hYN ],985
keh narkun prnas hain. pirtheeul prvasi hain. (130),ik nrkM pRxws hYN ] ipRQIaul pRvws hYN ]130],987
nirukt prbha hain| sdaivun sda hain.,inrukiq pRBw hYN ] sdYvM sdw hYN ],991
bebhugt sroop hain. prjugt anoop hain. (131),ibBugiq srUp hYN ] pRjugiq AnUp hYN ]131],996
nirukt sda hain| bebhugt prbha hain,inrukiq sdw hYN ] ibBugiq pRBw hYN ],999
anookt sroop hain| prjugt anoop hain. (132),An aukiq srUp hYN ] pRjugiq AnUp hYN ]132],1002
CHACHER CHHUND,cwcrI CMd ],1004
abhung hain| anung hain| abhaikh hain| alaikh hain. (133),ABMg hYN ] Anµg hYN ] AByK hYN ] AlyK hYN ]133],1007
abharm hain| akarm hain| anadi hain| jugadi hain. (134),ABrm hYN ] Akrm hYN ] Anwid hYN ] jugwid hYN ]134],1011
ajai hain| abai hain| abhoot hain| adhoot hain. (135),AjY hYN ] AbY hYN ] ABUq hYN ] ADUq hYN ]135],1014
anas hain| odas hain| adhundh hain| abundh hain. (136),Anws hYN ] audws hYN ] ADMD hYN ] AbMD hYN ]136],1018
abhagat hain| birkat hain| anas hain| parkas hain. (137),ABgq hYN ] ibrkq hYN ] Anws hYN ] pRkws hYN ]137],1021
