English,Punjabi
suni-ai anDhay paavahi raahu., suixAY AMDy pwvih rwhu ] 
suni-ai haath hovai asgaahu., suixAY hwQ hovY Asgwhu ] 
naanak bhagtaa sadaa vigaas., nwnk Bgqw sdw ivgwsu ] 
suni-ai dookh paap kaa naas. ||11||, suixAY dUK pwp kw nwsu ]11] 
mannay kee gat kahee na jaa-ay., mMny kI giq khI n jwie ] 
jay ko kahai pichhai pachhutaa-ay., jy ko khY ipCY pCuqwie ] 
kaagad kalam na likhanhaar., kwgid klm n ilKxhwru ] 
mannay kaa bahi karan veechaar., mMny kw bih krin vIcwru ] 
aisaa naam niranjan ho-ay., AYsw nwmu inrMjnu hoie ] 
jay ko man jaanai man ko-ay. ||12||, jy ko mMin jwxY min koie ]12] 
mannai surat hovai man buDh., mMnY suriq hovY min buiD ] 
mannai sagal bhavan kee suDh., mMnY sgl Bvx kI suiD ] 
mannai muhi chotaa naa khaa-ay., mMnY muih cotw nw Kwie ] 
mannai jam kai saath na jaa-ay., mMnY jm kY swiQ n jwie ] 
aisaa naam niranjan ho-ay., AYsw nwmu inrMjnu hoie ] 
jay ko man jaanai man ko-ay. ||13||, jy ko mMin jwxY min koie ]13] 
mannai maarag thaak na paa-ay., mMnY mwrig Twk n pwie ] 
mannai pat si-o pargat jaa-ay., mMnY piq isau prgtu jwie ] 
mannai mag na chalai panth., mMnY mgu n clY pMQu ] 
mannai Dharam saytee san-banDh., mMnY Drm syqI snbMDu ] 
aisaa naam niranjan ho-ay., AYsw nwmu inrMjnu hoie ] 
jay ko man jaanai man ko-ay. ||14||, jy ko mMin jwxY min koie ]14] 
mannai paavahi mokh du-aar., mMnY pwvih moKu duAwru ] 
mannai parvaarai saaDhaar., mMnY prvwrY swDwru ] 
mannai tarai taaray gur sikh., mMnY qrY qwry guru isK ] 
mannai naanak bhavahi na bhikh., mMnY nwnk Bvih n iBK ] 
aisaa naam niranjan ho-ay., AYsw nwmu inrMjnu hoie ] 
jay ko man jaanai man ko-ay. ||15||, jy ko mMin jwxY min koie ]15] 
panch parvaan panch parDhaan., pMc prvwx pMc prDwnu ] 
panchay paavahi dargahi maan., pMcy pwvih drgih mwnu ] 
panchay sohahi dar raajaan., pMcy sohih dir rwjwnu ] 
panchaa kaa gur ayk Dhi-aan., pMcw kw guru eyku iDAwnu ] 
jay ko kahai karai veechaar., jy ko khY krY vIcwru ] 
kartay kai karnai naahee sumaar., krqy kY krxY nwhI sumwru ] 
Dhoul Dharam da-i-aa kaa poot., DOlu Drmu dieAw kw pUqu ] 
santokh thaap rakhi-aa jin soot., sMqoKu Qwip riKAw ijin sUiq ] 
jay ko bujhai hovai sachiaar., jy ko buJY hovY sicAwru ] 
Dhavlai upar kaytaa bhaar., DvlY aupir kyqw Bwru ] 
Dhartee hor parai hor hor., DrqI horu prY horu horu ] 
tis tay bhaar talai kavan jor., iqs qy Bwru qlY kvxu joru ] 
jee-a jaat rangaa kay naav., jIA jwiq rMgw ky nwv ] 
sabhnaa likhi-aa vurhee kalaam., sBnw iliKAw vuVI klwm ] 
ayhu laykhaa likh jaanai ko-ay., eyhu lyKw iliK jwxY koie ] 
laykhaa likhi-aa kaytaa ho-ay., lyKw iliKAw kyqw hoie ] 
kaytaa taan su-aalihu roop., kyqw qwxu suAwilhu rUpu ] 
kaytee daat jaanai koun koot., kyqI dwiq jwxY kOxu kUqu ] 
keetaa pasaa-o ayko kavaa-o., kIqw pswau eyko kvwau ] 
