English,Punjabi
smasto praji smastsut dhamun. (61) ,smsqo prwjI smsqsqu DwmM ]61]
TERA JOR. CHACHERI CHHUND,qyrw joru ] cwcrI CMd ]
"jalai hain, thalai hain, abheet hain, abhai hain. (62) ",jly hYN ] Qly hYN ] ABIq hYN ] ABy hYN ] ]62]
"parbhu hain, aju hain, adais hain, abhais hain. (63) ",pRBU hYN ] AjU hYN ] Adys hYN ] ABys hYN ]63]
BHUJUNG PARYAT CHHUND,BujMg pRXwq CMd ]
"agadhai, abadhai, anundi sroopai.",AgwDy AbwDy ] AnµdI srUpy ]
"namo sarb manai, smusti nidhanai. (64) ",nmo srb mwny ] smsqI inDwny ]64]
"namustvun nirnathai, namustvun parmathai",nmsqÍM inRnwQy ] nmsqÍM pRmwQy ]
"namustvun agunjai, namustvun abhunjai. (65) ",nmsqÍM AgMjy ] nmsqÍM ABMjy ]65]
"namustvun akalai, namustvun apalai.",nmsqÍM Akwly ] nmsqÍM Apwly ]
"namo sarb daisai, namo sarb bhaisai. (66)",nmo srb dysy ] nmo srb Bysy ]66]
"namo raj rajai, namo saj sajai. ",nmo rwj rwjy ] nmo swj swjy ]
"namo shah shahai, namo mah mahai. (67) ",nmo Swh Swhy ] nmo mwh mwhy ]67]
"namo geet geetai, namo preeet preetai.",nmo gIq gIqy ] nmo pRIq pRIqy ]
"namo rokh rokhai, namo sokh sokhai. (68) ",nmo roK roKy ] nmo soK soKy ]68]
"namo sarb rogai, namo sarb bhogai.",nmo srb rogy ] nmo srb Bogy ]
"namo sarb jeetun, namo sarb bheetun. (69) ",nmo srb jIqM ] nmo srb BIqM ]69]
"namo sarb gyanun, namo parm tanun",nmo srb igAwnµ ] nmo prm qwnµ ]
"namo sarb muntrun, namo sarb juntrun. (70) ",nmo srb mMqRM ] nmo srb jMqRM ]70]
"namo sarb dirsun, namo sarb kirsun.",nmo srb idR`sM ] nmo srb ik®`sM ]
"namo sarb runrungai, tirbhungi anungai. (71) ",nmo srb rMgy ] iqRBMgI Anµgy ]71]
"namo jiv jeevai, namo bij bijai.",nmo jIv jIvM ] nmo bIj bIjy ]
" akhiji abhijai, smustun parsijai. (72) ",AiK`jy AiB`jy ] smsqM pRis`jy ]72]
kirpalun sroopai kukarmun parnasi. ,ik®pwlµ srUpy ] kukrmM pRxwsI ]
sada sarbda ridhi sidhun nivasi. (73) ,sdw srbdw iriD isDM invwsI ]73]
CHURPAT CHHUND. TAV PARSAD (BY YOUR GRACE),crpt CMd ] qÍ pRswid ]
"amrit karmai, abrit dharmai, ",AMimRq krmy ] AMibRq Drmy ]
" akhal jogai, achal bhogai. (74)",AK`l jogy ] Ac`l Bogy ]74]
"achal rajai, atal sajai,",Ac`l rwjy ] At`l swjy ]
" akhal dharmun, alakh kamun. (75) ",AK`l DrmM ] Al`K krmM ]75]
"sarbun data, sarbun giyata,",srbM dwqw ] srbM igAwqw ]
" sarbun bhanai, sarbun manai (76) ",srbM Bwny ] srbM mwny ]76]
"sabun pranun, sabun tranun,",srbM pRwxM ] srbM qRwxM ]
 sarbun bhugta sarbun jugta. (77) ,srbM Bugqw ] srbM jugqw ]77]
"sabun devun, sarbun bhavun, ",srbM dyvM ] srbM ByvM ]
"sarbun kalai, sarbun palai. (78) ",srbM kwly ] srbM pwly ]78]
ROOAL CHHUND. TAV PARSAD (BY YOUR GRACE),rUAwl CMd ] qÍ pRswid ]
adi roop anadi moorat ajoni purkh apar.,Awid rUp Anwid mUriq Ajoin purK Apwr ]
sarb maun trimaun dev abhaiv adi oodar.,srb mwn iqRmwn dyv AByv Awid audwr ]
sarb palak sarb ghalak sarb ko puni kal.,srb pwlk srb Gwlk srb ko puin kwl ]
jatar tatar birajhi avdhoot roop rasal. (79) ,j`qR q`qR ibrwjhI AvDUq rUp irswl ]79]
nam tham na jati jakar roop rung na raikh,nwm Twm n jwq jwkr rUp rMg n ryK ]
adi purkh odhar moorat ajoni adi asaikh,Awid purK audwr mUriq Ajoin Awid AsyK ]
dais aur na bhais jakar roop raikh na rag,dys AOr n Bys jwkr rUp ryK n rwg ]
jatar tatar disa visa hoeh phailio anurag. (80) ,j`qR q`qR idsw ivsw huie PYilE Anurwg ]80]
nam kam beheen paikhat dham hoon neh jaeh.,nwm kwm ibhIn pyKq Dwm hUM nih jwih ]
