English,Punjabi
gobind milan kee ih tayree baree-aa.,goibMd imlx kI ieh qyrI brIAw ] 
avar kaaj tayrai kitai na kaam.,Avir kwj qyrY ikqY n kwm ] 
mil saaDhsangat bhaj kayval naam. ||1||,imlu swDsMgiq Bju kyvl nwm ]1] 
saraNjaam laag bhavjal taran kai.,srMjwim lwgu Bvjl qrn kY ] 
janam baritha jaat rang maa-i-aa kai. ||1|| rahaa-o.,jnmu ibRQw jwq rMig mwieAw kY ]1] rhwau ] 
jap tap sanjam Dharam na kamaa-i-aa.,jpu qpu sMjmu Drmu n kmwieAw ] 
sayvaa saaDh na jaani-aa har raa-i-aa.,syvw swD n jwinAw hir rwieAw ] 
kaho naanak ham neech karammaa.,khu nwnk hm nIc krMmw ] 
saran paray kee raakho sarmaa. ||2||4||,srix pry kI rwKhu srmw ]2]4] 
,<>  sRI vwihgurU jI kI Pqh ]
,pwiqswhIÚ 10 ]
,kbXo bwc bynqI ] cOpeI ]
,hmrI kro hwQ dY r`Cw ]
,pUrn hoie icq kI ie`Cw ] 
,qv crnn mn rhY hmwrw ] 
,Apnw jwn kro pRiqpwrw ]1]
,hmry dust sBY qum Gwvhu ] 
,Awpu hwQ dY moih bcwvhu ]
,suKI bsY moro pirvwrw ]
,syvk is`KX sBY krqwrw ]2]
,mo r`Cw inj kr dY kirXY ]
,sB bYrn ko Awj sMGirXY ]
,pUrn hoie hmwrI Awsw ]
,qor Bjn kI rhY ipAwsw ]3]
,qumih Cwif koeI Avr n iDXwaUN ]
,jo br choN su qum qy pwaUN ]
,syvk is`KX hmwry qwrIAih ]
,cuin cuin sqR hmwry mwrIAih ]4]
,Awp hwQ dY muJY aubirXY ]
,mrn kwl kw qRws invirXY ]
,hUjo sdw hmwry p`Cw ]
,sRI AisDuj jU kirXhu r`Cw ]5]
,rwiK lyhu muih rwKnhwry ]
,swihb sMq shwie ipXwry ]
,dIn bMDu dustn ky hMqw ]
,qumho purI cqur ds kMqw ]6]
,kwl pwie bRhmw bpu Drw ]
,kwl pwie isvjU Avqrw ] 
,kwl pwie kr ibsnu pRkwsw ] 
,skl kwl kw kIAw qmwsw ]7]
,jvn kwl jogI isv kIE ] 
,bydrwj bRhmw jU QIE ] 
,jvn kwl sB lok svwrw ] 
,nmskwr hY qwih hmwrw ]8]
,jvn kwl sB jgq bnwXo ] 
,dyv dYq j`Cn aupjwXo ]
,Awid AMiq eykY Avqwrw ] 
,soeI gurU smiJXhu hmwrw ]9]
,nmskwr iqs hI ko hmwrI ] 
,skl pRjw ijn Awp svwrI ]
,isvkn ko isvgun suK dIE ]
,s`qRün ko pl mo bD kIE ]10]
,Gt Gt ky AMqr kI jwnq ]
,Bly bury kI pIr pCwnq ] 
,cItI qy kuMcr AsQUlw ] 
,sB pr ik®pw idRsit kr PUlw ]11]
,sMqn duK pwey qy duKI ] 
,suK pwey swDn ky suKI ] 
,eyk eyk kI pIr pCwnYN ]
,Gt Gt ky pt pt kI jwnYN ]12]
,jb audkrK krw krqwrw ] 
,pRjw Drq qb dyh Apwrw ] 
,jb AwkrK krq ho kbhUM ] 
,qum mY imlq dyh Dr sBhUM ]13]
,jyqy bdn isRsit sB DwrY ] 
,Awpu AwpnI bUJ aucwrY ]
,qum sBhI qy rhq inrwlm ]
,jwnq byd Byd Ar Awlm ]14]
,inrMkwr inRibkwr inrlµB ] 
